,second_name,team,element_type,selected_by_percent,now_cost,minutes,value_season,total_points,points_per_game,position,value
35,Martínez,Aston Villa,1,32.9,51,1620,18.2,93,5.2,Goalkeeper,18.2
597,Soucek,West Ham,3,18.4,53,1800,18.1,96,4.8,Midfielder,18.1
119,Pope,Burnley,1,10.8,54,1620,17.6,95,5.3,Goalkeeper,17.6
584,Cresswell,West Ham,2,19.5,55,1800,16.7,92,4.6,Defender,16.7
50,Targett,Aston Villa,2,5.9,47,1604,16.6,78,4.3,Defender,16.6
495,Bednarek,Southampton,2,12.9,49,1620,16.5,81,4.3,Defender,16.5
7,Leno,Arsenal,1,9.1,50,1800,16.4,82,4.1,Goalkeeper,16.4
580,Fabianski,West Ham,1,4.0,51,1710,15.7,80,4.2,Goalkeeper,15.7
293,Dallas,Leeds,2,13.9,48,1700,15.6,75,3.9,Defender,15.6
295,Bamford,Leeds,4,49.0,67,1605,15.5,104,5.5,Forward,15.5
483,McCarthy,Southampton,1,19.2,47,1620,15.5,73,4.1,Goalkeeper,15.5
306,Meslier,Leeds,1,5.9,47,1620,15.5,73,4.1,Goalkeeper,15.5
279,Justin,Leicester,2,26.2,50,1800,15.2,76,3.8,Defender,15.2
249,Areola,Fulham,1,2.9,45,1620,15.1,68,3.8,Goalkeeper,15.1
22,Saka,Arsenal,3,11.2,54,1503,15.0,81,4.5,Midfielder,15.0
258,Schmeichel,Leicester,1,9.9,55,1800,14.9,82,4.1,Goalkeeper,14.9
356,Stones,Man City,2,18.9,52,990,14.8,77,7.0,Defender,14.8
581,Ogbonna,West Ham,2,3.2,50,1772,14.8,74,3.7,Defender,14.8
447,Wilson,Newcastle,4,18.5,66,1597,14.7,97,5.4,Forward,14.7
45,Grealish,Aston Villa,3,37.4,77,1617,14.7,113,6.3,Midfielder,14.7
625,Lomba Neto,Wolves,3,10.2,59,1621,14.6,86,4.3,Midfielder,14.6
360,Cancelo,Man City,2,15.2,59,1279,14.6,86,5.7,Defender,14.6
494,Walker-Peters,Southampton,2,11.2,48,1620,14.6,70,3.9,Defender,14.6
521,Son,Spurs,3,59.1,97,1526,14.3,139,7.7,Midfielder,14.3
